facet,year,series,value
MENA,2021,Morocco,29.1612317030434
MENA,2021,Tunisia,41.0535604152775
MENA,2021,Türkiye,61.3926806719257
MENA,2021,Region average,50.9522351970282
MENA,2022,Algeria,26.1904379771337
MENA,2022,Egypt,59.3744383215285
MENA,2022,Iran,64.582071752378
MENA,2022,Iraq,58.0206529625806
MENA,2022,Jordan,55.2298047185622
MENA,2022,Morocco,26.2994669989862
MENA,2022,Tunisia,39.5891537862491
MENA,2022,Türkiye,59.1923740719557
MENA,2022,Region average,48.5598000736717
MENA,2023,Tunisia,35.3166214872908
MENA,2023,Türkiye,58.2326852224729
South Asia,1994,India,88.7459888102506
South Asia,1995,India,88.6568093029199
South Asia,1996,India,88.5676297955892
South Asia,1997,India,88.4784502882584
South Asia,1998,India,88.3892707809277
South Asia,1999,India,88.300091273597
South Asia,2000,India,88.2109117662663
South Asia,2001,India,88.0329543999284
South Asia,2002,India,87.8549970335904
South Asia,2003,India,87.6770396672525
South Asia,2004,India,87.4990823009146
South Asia,2005,Pakistan,80.24470758
South Asia,2005,India,87.3211249345766
South Asia,2006,Bangladesh,87.3948575464608
South Asia,2006,Pakistan,80.80508203
South Asia,2006,India,87.1872819552959
South Asia,2006,Region average,85.1290738444405
South Asia,2007,Bangladesh,87.7549499536604
South Asia,2007,Pakistan,81.61347348
South Asia,2007,India,87.0534389760151
South Asia,2007,Region average,85.4739541361324
South Asia,2008,Bangladesh,88.11504236086
South Asia,2008,Pakistan,81.46685429
South Asia,2008,India,86.9195959967344
South Asia,2008,Region average,85.5004975498694
South Asia,2009,Bangladesh,88.4751347680596
South Asia,2009,Pakistan,80.98119849
South Asia,2009,India,86.7857530174536
South Asia,2009,Region average,85.4140287580234
South Asia,2010,Bangladesh,88.8352271752591
South Asia,2010,Pakistan,80.90313416
South Asia,2010,India,86.6519100381729
South Asia,2010,Region average,85.4634237914991
South Asia,2011,Bangladesh,88.7459043822636
South Asia,2011,Pakistan,80.98754808
South Asia,2011,India,86.4190688421539
South Asia,2011,Region average,85.3841737683636
South Asia,2012,Bangladesh,88.6565815892681
South Asia,2012,Pakistan,78.70110652
South Asia,2012,India,86.186227646135
South Asia,2012,Region average,84.5146385841981
South Asia,2013,Bangladesh,88.5672587962726
South Asia,2013,Pakistan,78.72523685
South Asia,2013,India,85.795368027547
South Asia,2013,Region average,84.3626212255334
South Asia,2014,Bangladesh,88.3377715896777
South Asia,2014,Pakistan,81.9885394
South Asia,2014,India,85.4045084089592
South Asia,2014,Region average,85.2436064656731
South Asia,2015,Bangladesh,88.1082843830829
South Asia,2015,Pakistan,83.11272776
South Asia,2015,India,85.0136487903713
South Asia,2015,Region average,85.4115536451597
South Asia,2016,Bangladesh,87.878797176488
South Asia,2016,Pakistan,80.78286515
South Asia,2016,India,84.6227891717834
South Asia,2016,Region average,84.428150500239
South Asia,2017,Bangladesh,87.6493099698932
South Asia,2017,Pakistan,80.31974141
South Asia,2017,India,84.2319295531954
South Asia,2017,Region average,84.0669936429897
South Asia,2018,Bangladesh,87.706318371437
South Asia,2018,Pakistan,79.85661766
South Asia,2018,India,83.8410699346075
South Asia,2018,Region average,83.8013353217866
South Asia,2019,Bangladesh,87.7633267729809
